,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,to_away
0,0.478,0.815,0.321,23.0,44.0,17.0
1,0.561,0.765,0.333,20.0,37.0,10.0
2,0.47,0.682,0.433,20.0,46.0,19.0
3,0.392,0.735,0.261,15.0,46.0,22.0
4,0.5,0.773,0.292,20.0,47.0,11.0
5,0.469,0.778,0.462,27.0,47.0,14.0
6,0.494,0.76,0.364,32.0,36.0,14.0
7,0.447,0.909,0.265,17.0,38.0,4.0
8,0.451,0.697,0.297,19.0,45.0,11.0
9,0.453,0.852,0.333,17.0,39.0,13.0
10,0.494,0.667,0.389,29.0,36.0,18.0
11,0.5,0.833,0.458,25.0,39.0,12.0
12,0.402,0.759,0.29,25.0,40.0,14.0
13,0.505,0.632,0.435,27.0,43.0,14.0
14,0.548,0.833,0.419,24.0,39.0,13.0
15,0.473,0.923,0.343,23.0,29.0,11.0
16,0.475,0.703,0.407,22.0,41.0,9.0
17,0.444,0.667,0.192,25.0,42.0,16.0
18,0.387,0.739,0.294,19.0,35.0,14.0
19,0.42,0.8,0.275,24.0,50.0,15.0
20,0.474,0.92,0.353,29.0,45.0,8.0
21,0.554,0.789,0.5,30.0,46.0,19.0
22,0.408,0.806,0.422,23.0,42.0,10.0
23,0.556,0.806,0.325,26.0,44.0,17.0
24,0.5,0.81,0.432,26.0,45.0,10.0
25,0.448,0.824,0.429,13.0,38.0,8.0
26,0.516,0.739,0.323,26.0,56.0,14.0
27,0.384,0.895,0.414,20.0,46.0,13.0
28,0.47,0.767,0.308,13.0,49.0,14.0
29,0.55,0.913,0.517,26.0,35.0,8.0
30,0.531,0.846,0.462,31.0,41.0,12.0
31,0.523,0.75,0.421,31.0,30.0,12.0
32,0.427,0.913,0.316,26.0,48.0,11.0
33,0.463,0.792,0.256,24.0,48.0,10.0
34,0.429,0.923,0.36,20.0,42.0,14.0
35,0.512,0.696,0.367,25.0,40.0,17.0
36,0.409,0.632,0.306,19.0,45.0,11.0
37,0.471,0.737,0.361,20.0,36.0,12.0
38,0.453,0.5,0.34,24.0,29.0,14.0
39,0.378,0.784,0.267,15.0,53.0,9.0
40,0.584,0.769,0.467,27.0,36.0,8.0
41,0.547,0.824,0.517,25.0,41.0,12.0
42,0.524,0.828,0.387,30.0,33.0,16.0
43,0.462,0.857,0.273,19.0,53.0,17.0
44,0.525,0.895,0.306,34.0,33.0,10.0
45,0.415,0.846,0.395,31.0,48.0,15.0
46,0.605,0.783,0.346,22.0,37.0,8.0
47,0.402,0.719,0.386,19.0,50.0,10.0
48,0.494,0.56,0.48,23.0,43.0,22.0
49,0.438,0.76,0.351,21.0,42.0,12.0
50,0.481,0.75,0.333,25.0,39.0,14.0
51,0.443,0.739,0.34,21.0,40.0,14.0
52,0.372,0.667,0.26,22.0,39.0,7.0
53,0.475,0.821,0.4,24.0,49.0,16.0
54,0.463,0.778,0.281,27.0,53.0,8.0
55,0.516,0.75,0.45,25.0,52.0,5.0
56,0.465,0.862,0.424,27.0,46.0,17.0
57,0.5,0.889,0.343,30.0,39.0,11.0
58,0.484,0.85,0.37,29.0,50.0,7.0
59,0.495,0.8,0.529,25.0,48.0,15.0
60,0.43,0.8,0.429,25.0,39.0,14.0
61,0.605,0.706,0.45,26.0,40.0,11.0
62,0.526,0.789,0.333,26.0,43.0,12.0
63,0.527,0.565,0.487,40.0,24.0,13.0
64,0.419,0.733,0.182,15.0,43.0,17.0
65,0.413,0.85,0.238,21.0,48.0,17.0
66,0.4,0.789,0.4,25.0,37.0,21.0
67,0.32,0.947,0.255,22.0,44.0,9.0
68,0.398,0.667,0.148,25.0,43.0,19.0
69,0.442,0.688,0.396,27.0,51.0,11.0
70,0.386,0.778,0.265,23.0,48.0,15.0
71,0.494,0.889,0.296,25.0,41.0,19.0
72,0.356,0.773,0.324,20.0,39.0,22.0
73,0.477,0.952,0.323,21.0,42.0,13.0
74,0.489,0.941,0.217,21.0,44.0,12.0
75,0.495,0.526,0.37,25.0,37.0,18.0
76,0.434,0.692,0.231,27.0,36.0,9.0
77,0.467,0.765,0.342,34.0,42.0,14.0
78,0.548,0.778,0.423,31.0,42.0,12.0
79,0.398,0.657,0.256,20.0,41.0,16.0
80,0.4,0.868,0.24,18.0,28.0,9.0
81,0.409,0.867,0.367,21.0,45.0,15.0
82,0.48,0.826,0.259,28.0,53.0,18.0
83,0.367,0.778,0.279,18.0,52.0,15.0
84,0.538,0.774,0.333,24.0,46.0,18.0
85,0.52,0.719,0.321,19.0,59.0,18.0
86,0.426,0.938,0.396,22.0,42.0,14.0
87,0.458,0.8,0.345,25.0,40.0,10.0
88,0.456,0.846,0.25,24.0,37.0,8.0
