,result
0,9.0
1,8.0
2,8.0
3,20.0
4,-2.0
5,-5.0
6,30.0
7,-7.0
8,-6.0
9,-5.0
10,3.0
11,14.0
12,21.0
13,-15.0
14,-10.0
15,38.0
16,-3.0
17,14.0
18,23.0
19,3.0
20,1.0
21,-19.0
22,10.0
23,-9.0
24,2.0
25,26.0
26,-6.0
27,-3.0
28,-3.0
29,-3.0
30,-16.0
31,24.0
32,4.0
33,2.0
34,9.0
35,-10.0
36,1.0
37,-12.0
38,26.0
39,6.0
40,4.0
41,-19.0
42,-9.0
43,-8.0
44,6.0
45,12.0
46,-3.0
47,-23.0
48,-2.0
49,20.0
50,18.0
51,-3.0
52,41.0
53,3.0
54,-16.0
55,-7.0
56,6.0
57,11.0
58,-1.0
59,-8.0
60,-2.0
61,-16.0
62,-15.0
63,13.0
64,11.0
65,20.0
66,17.0
67,14.0
68,21.0
69,-4.0
70,-5.0
71,-12.0
72,25.0
73,7.0
74,1.0
75,21.0
76,20.0
77,5.0
78,-7.0
79,13.0
80,12.0
81,18.0
82,1.0
83,5.0
84,-4.0
85,-3.0
86,-7.0
87,8.0
88,29.0
89,16.0
90,5.0
91,6.0
92,-19.0
93,10.0
94,4.0
95,4.0
96,-11.0
97,11.0
98,11.0
99,11.0
100,-10.0
101,-1.0
102,5.0
103,9.0
104,-1.0
105,5.0
106,6.0
107,24.0
108,13.0
109,4.0
110,21.0
111,13.0
112,6.0
113,6.0
114,1.0
115,-27.0
116,14.0
117,-20.0
118,-1.0
119,-2.0
120,-7.0
121,-7.0
122,-6.0
123,9.0
124,8.0
125,19.0
126,-8.0
127,15.0
128,-38.0
129,-11.0
130,-10.0
131,11.0
132,-11.0
133,9.0
134,16.0
135,-21.0
136,-27.0
137,-9.0
138,13.0
139,-7.0
140,19.0
141,-5.0
142,1.0
143,8.0
144,-4.0
145,9.0
146,11.0
147,-4.0
148,8.0
149,-18.0
150,-1.0
151,20.0
152,8.0
153,6.0
154,28.0
155,-17.0
156,13.0
157,6.0
158,-6.0
159,8.0
160,18.0
161,8.0
162,20.0
163,19.0
164,13.0
165,23.0
166,19.0
167,-30.0
168,3.0
169,-6.0
170,3.0
171,15.0
172,35.0
173,7.0
174,12.0
175,4.0
176,16.0
177,-7.0
178,-5.0
179,-1.0
180,14.0
181,-23.0
182,14.0
183,-8.0
184,9.0
185,-8.0
186,-4.0
187,-30.0
188,9.0
189,5.0
190,13.0
191,-5.0
192,1.0
193,2.0
194,-8.0
195,-3.0
196,18.0
197,11.0
198,3.0
199,6.0
200,21.0
201,15.0
202,4.0
203,-11.0
204,6.0
205,11.0
206,-10.0
207,6.0
208,18.0
209,-14.0
210,9.0
211,13.0
212,8.0
213,-14.0
214,-5.0
215,-5.0
216,-19.0
217,-9.0
218,17.0
219,9.0
220,-4.0
221,-2.0
222,10.0
223,12.0
224,21.0
225,14.0
226,8.0
227,4.0
228,45.0
229,-10.0
230,7.0
231,21.0
232,4.0
233,8.0
234,12.0
235,26.0
236,-7.0
237,-1.0
238,31.0
239,2.0
240,-3.0
241,-5.0
242,22.0
243,1.0
244,10.0
245,8.0
246,-1.0
247,-8.0
248,11.0
249,28.0
250,-8.0
251,1.0
252,10.0
253,7.0
254,-2.0
255,18.0
256,5.0
257,-12.0
258,-18.0
259,-1.0
260,-25.0
261,8.0
262,15.0
263,14.0
264,-9.0
265,-3.0
266,11.0
267,11.0
268,2.0
269,-7.0
270,7.0
271,32.0
272,-4.0
273,-7.0
274,4.0
275,1.0
276,-16.0
277,-15.0
278,37.0
279,-10.0
280,-5.0
281,10.0
282,7.0
283,-23.0
284,7.0
285,13.0
286,-15.0
287,9.0
288,-9.0
289,14.0
290,12.0
291,17.0
292,5.0
293,13.0
294,19.0
295,17.0
296,9.0
297,19.0
298,18.0
299,11.0
300,5.0
301,-6.0
302,8.0
303,9.0
304,5.0
305,-11.0
306,7.0
307,-10.0
308,-3.0
309,-6.0
310,16.0
311,27.0
312,7.0
313,-4.0
314,-12.0
315,-4.0
316,-2.0
317,13.0
318,7.0
319,-8.0
320,-7.0
321,9.0
322,7.0
323,12.0
324,19.0
325,-3.0
326,14.0
327,-3.0
328,-13.0
329,-6.0
330,2.0
331,3.0
332,23.0
333,2.0
334,-14.0
335,9.0
336,6.0
337,-8.0
338,-3.0
339,-4.0
340,3.0
341,-15.0
342,14.0
343,12.0
344,25.0
345,20.0
